issue_type,contract_number,supplier,value
zero_value,CW2340393,Gambit Id,0.0
zero_value,CW2340303,Isys Intelligent System Solutions,0.0
zero_value,CW2339803,Terranova Security,0.0
zero_value,CW2341181,Carahsoft,0.0
zero_value,CW2341191,Carahsoft,0.0
zero_value,CW2340310,Click Networks,0.0
zero_value,CW2339576,Eclipsys Solutions,0.0
zero_value,CW2339563,In House Solutions,0.0
zero_value,CW2338761,Advanced Chippewa Technologies,0.0
zero_value,CW2339143,Corel Corpoation,0.0
zero_value,CW2337579,Ricoh,0.0
zero_value,CW2337431,Carahsoft,0.0
zero_value,CW2337362,Mnp Digital,0.0
zero_value,CW2337216,Hitachi Vantara,0.0
zero_value,CW2337247,Solid Caddgroup,0.0
zero_value,CW2337307,Carahsoft Technology,0.0
zero_value,CW2337014,Mnp Digital,0.0
zero_value,CW2337055,Cdw,0.0
zero_value,CW2336322,Ipss,0.0
zero_value,CW2336228,Purespirit Solutions,0.0
zero_value,CW2336235,Advanced Chippewa Technologies,0.0
zero_value,CW2336447,Carahsoft,0.0
zero_value,CW2336420,Ricoh,0.0
zero_value,CW2334788,H2 Analytics,0.0
zero_value,CW2336581,Data Centre Intelligence,0.0
zero_value,CW2335302,O A Qlogitek,0.0
zero_value,CW2335806,Advanced Chippewa Technologies,0.0
zero_value,CW2335548,Freebalance,0.0
zero_value,CW2333487,It Broker,0.0
zero_value,CW2333546,Advanced Chippewa Technologies,0.0
zero_value,CW2333514,Closereach,0.0
zero_value,CW2333469,Carahsoft,0.0
zero_value,CW2333470,Pci Geomatics Enterprises,0.0
zero_value,CW2333472,Okiok Data Lt E Okiok Data,0.0
zero_value,CW2333573,Closereach,0.0
zero_value,CW2333509,Etico,0.0
zero_value,CW2333589,B N H Expert Engineering Software,0.0
zero_value,CW2333595,Ipss,0.0
zero_value,CW2333599,Advanced Chippewa Technologies,0.0
zero_value,CW2333067,Carahsoft,0.0
zero_value,CW2333071,Advanced Chippewa Technologies,0.0
zero_value,CW2333162,Orangutech,0.0
zero_value,CW2332706,Convergent Information Systems,0.0
zero_value,CW2333169,Carahsoft,0.0
zero_value,CW2333176,A Net Solutions,0.0
zero_value,CW2333186,Asc Gp,0.0
zero_value,CW2333415,Advanced Chippewa Technologies,0.0
zero_value,CW2333433,Carahsoft Technology,0.0
zero_value,CW2334288,Carahsoft,0.0
zero_value,CW2334211,Closereach,0.0
zero_value,CW2334452,Like 10,0.0
zero_value,CW2334510,Anthony Macauley And Associates Victoria,0.0
zero_value,CW2334516,Ipss,0.0
zero_value,CW2334464,Orangutech,0.0
zero_value,CW2334389,Ipss,0.0
zero_value,CW2334412,Carahsoft,0.0
zero_value,CW2334320,ORACLE CANADA,0.0
zero_value,CW2334419,Norconex,0.0
zero_value,CW2331589,Esri,0.0
zero_value,CW2331382,Orangutech,0.0
zero_value,CW2331591,Veeam,0.0
zero_value,CW2331478,Advanced Chippewa Technologies,0.0
zero_value,CW2331840,Oproma,0.0
zero_value,CW2331779,Ipss,0.0
zero_value,CW2331741,Ipss,0.0
zero_value,CW2331221,Closereach,0.0
zero_value,CW2331219,Orangutech,0.0
zero_value,CW2331206,Advanced Chippewa Technologies,0.0
zero_value,CW2331209,Hex Rays Sa,0.0
zero_value,CW2331305,Advanced Chippewa Technologies,0.0
zero_value,CW2331250,9672354,0.0
zero_value,CW2331283,Safe Software,0.0
zero_value,CW2332574,Carahsoft,0.0
zero_value,CW2332582,Carahsoft,0.0
zero_value,CW2332619,Advanced Chippewa Technologies,0.0
zero_value,CW2332294,Anvil Intelligence,0.0
zero_value,CW2332347,Ipss,0.0
zero_value,CW2332319,Optiv Federal,0.0
zero_value,CW2332099,Advanced Chippewa Technologies,0.0
zero_value,CW2329174,Orangutech,0.0
zero_value,CW2329221,Orangutech,0.0
zero_value,CW2329225,Orangutech,0.0
zero_value,CW2328623,Commvault Systems,0.0
zero_value,CW2332110,Cyphercor,0.0
zero_value,CW2328627,Shinydocs,0.0
zero_value,CW2328423,Fleximation Systems,0.0
zero_value,CW2328354,Advanced Chippewa Technologies,0.0
zero_value,CW2327796,Hexagon,0.0
zero_value,CW2330906,Horizant,0.0
zero_value,CW2330271,Dls Technology,0.0
zero_value,CW2331117,Advanced Chippewa Technologies,0.0
zero_value,CW2330394,Ipss,0.0
zero_value,CW2330593,Closereach,0.0
zero_value,CW2330537,Ipss,0.0
zero_value,CW2330197,Advanced Chippewa Technologies,0.0
zero_value,CW2325250,Ipss,0.0
zero_value,CW2325669,Advanced Chippewa Technologies,0.0
zero_value,CW2327561,Advanced Chippewa Technologies,0.0
zero_value,CW2325514,Advanced Chippewa Technologies,0.0
zero_value,CW2323218,Advanced Chippewa Technologies,0.0
zero_value,CW2319776,Advanced Chippewa Technologies,0.0
zero_value,CW2313646,Ipss,0.0
zero_value,CW2315092,Data Centre Intelligence,0.0
zero_value,CW2321738,Ipss,0.0
zero_value,CW2321946,Advanced Chippewa Technologies,0.0
zero_value,CW2347228,Skyfly Solutions,0.0
zero_value,CW2345968,Quest Software,0.0
